Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR,Deposit,Product Price
MK Phone Samsung A03s 4/64 MTN v15,0.1816,2950,0.3456,239000,1315750
MK Phone Samsung A03s 4/64 Red-Con MTN v14,0.1816,2950,0.2359,239000,1315750
MK Phone Nokia G21 4/64 Red-Con Airtel v23,0.205,2550,0.1269,240000,1170750
MK Phone Nokia G21 4/64 Red-Con Airtel v20,0.2045,2600,0.0961,244000,1193000
MK Phone Nokia G21 4/64 Conv MTN v8,0.1798,3050,0.1697,244000,1357250
MK Phone Nokia G21 4/64 Red-Con MTN v8,0.1798,3050,0.1821,244000,1357250
MK Phone Samsung A13 4/64 MTN v9,0.1706,3250,0.21,244000,1430250
MK Phone Samsung A13 4/64 Red-Con MTN v8,0.1706,3250,0.2302,244000,1430250
MK Phone Samsung A13 4/64 MTN v11,0.1685,3300,0.2411,244000,1448500
MK Phone Samsung A13 4/64 Red-Con MTN v10,0.1685,3300,0.2358,244000,1448500
MK Phone Samsung A04s 4/64 F&F v1,0.2021,2650,0.343,245000,1212250
MK +Phone Samsung A22 LDR v1,0.1649,3400,0.3801,245000,1486000
MK Phone Samsung A22 4/64 F&F v1,0.1649,3400,0.5721,245000,1486000
MK Phone Samsung A22 4/64 MTN v2,0.1649,3400,0.2105,245000,1486000
MK Phone Samsung A22 4/64 MTN v6,0.1572,3600,0.1397,245000,1559000
MK Phone Samsung A22 4/64 Red-Con MTN v6,0.1572,3600,0.2664,245000,1559000
MK Phone Samsung A22 4/64 Red-Con v5,0.1572,3600,0.1882,245000,1559000
MK Phone Samsung A22 4/64 MTN v4,0.1536,3700,0.3022,245000,1595500
MK Phone Nokia G21 4/64 Red-Con v19,0.2005,2720,0.0894,249000,1241800
MK Phone Nokia G21 4/64 Conv v13,0.1843,3020,0.1892,249000,1351300
MK Phone Nokia G21 4/64 Red-Con v13,0.1843,3020,0.2177,249000,1351300
MK Phone Nokia G21 4/64 Conv v9,0.1786,3200,0.2794,254000,1422000
MK Phone Nokia G21 4/64 Red-Con v9,0.1786,3200,0.2093,254000,1422000
MK Phone Samsung A13 4/64 Red-Con v13,0.1679,3450,0.0139,254000,1513250
MK Phone Samsung A23 4/64 Red-Con MTN v9 Staff,0.1997,2800,0.0095,255000,1277000
MK Phone Samsung A23 4/64 Red-Con MTN F&F v1,0.1718,3500,0.5136,265000,1542500
MK Phone Samsung A23 4/64 MTN v3,0.164,3700,0.1757,265000,1615500
MK Phone Samsung A23 4/64 Red-Con MTN v2,0.164,3700,0.1812,265000,1615500
MK Phone Samsung A04s 4/128 Red-Con MTN v13,0.2084,2800,0.1487,269000,1291000
MK Phone Samsung A04s 4/128 Red-Con MTN v8,0.2121,2900,0.17,285000,1343500
MK Phone Samsung A04s 4/128 Red-Con MTN v1,0.2065,3000,0.169,285000,1380000
MK Phone Nokia X10 6/128 Red-Con MTN v3,0.1578,5650,0.1207,289000,1831450
MK Phone Samsung A04s 4/128 Red-Con Airtel v9,0.2122,2950,0.3099,290000,1366750
MK Phone Samsung A32 4/128 MTN v4,0.1544,5900,0.4847,294000,1904700
MK Phone Samsung A32 4/128 v2,0.1544,5900,0.4123,294000,1904700
MK Phone Samsung A23 4/64 Red-Con MTN v10,0.1793,3750,0.1675,299000,1667750
MK Phone Nokia X10 6/128 Red-Con v4,0.1566,5900,0.1704,299000,1909700
MK Phone Samsung A32 v1 F&F,0.1626,4500,0.0649,319000,1961500
MK Phone Nokia X10 6/128 Red-Con MTN v7,0.163,6000,0.1532,319000,1957000
MK Phone Nokia X10 6/128 Red-Con v8,0.1638,6150,0.093,329000,2007950
MK Phone Samsung A23 4/64 MTN v16,0.1884,4000,0.2032,339000,1799000
MK Phone Samsung A23 4/64 Red-Con MTN v16,0.1884,4000,0.1929,339000,1799000
MK Phone Samsung A23 4/64 MTN v11,0.1798,4300,0.1773,344000,1913500
MK Phone Samsung A23 4/64 Red-Con MTN v12,0.1798,4300,0.1776,344000,1913500
MK Fridge v4 100L,0.1025,4700,0.2612,349000,3404000
MK Phone Samsung A52 6/128 F&F v1,0.1504,7300,0.0566,349000,2320000
MK Phone Samsung A52 6/128 MTN v4,0.149,7300,0.141,349000,2341900
MK Phone Samsung A52 6/128 v2,0.149,7300,0.0079,349000,2341900
MK Phone Nokia X10 6/128 Conv MTN v15,0.189,5800,0.1859,369000,1952400
MK Phone Nokia X10 6/128 Red-Con MTN v15,0.189,5800,0.1484,369000,1952400
MK Phone Nokia X10 6/128 Conv MTN v11,0.1798,6250,0.2399,374000,2080250
MK Phone Nokia X10 6/128 Red-Con MTN v11,0.1798,6250,0.0827,374000,2080250
MK Phone Nokia X10 6/128 Conv v16,0.1879,6000,0.1171,379000,2017000
MK Phone Nokia X10 6/128 Red-Con v16,0.1879,6000,0.1779,379000,2017000
MK Phone Nokia X10 6/128 Conv v12,0.1802,6400,0.0039,384000,2131200
MK Phone Nokia X10 6/128 Red-Con v12,0.1802,6400,0.0174,384000,2131200
MK Phone Samsung A33 6/128 Red-Con MTN v2,0.1579,7500,0.1216,384000,2431500
MK Phone Samsung A33 6/128 Red-Con MTN v1 F&F,0.1575,5700,0.223,389000,2469500
MK Phone Samsung A33 6/128 Red-Con MTN v4,0.171,7350,0.1871,414000,2420550
MK Phone Samsung A72 6/128 F&F v1,0.1473,9200,0.7619,429000,2913000
MK Phone Samsung A72 6/128 MTN v4,0.1459,9200,0.1566,429000,2940600
MK Phone Samsung A72 6/128 v2,0.1459,9200,0.2188,429000,2940600
MK Phone Samsung A33 6/128 MTN v6,0.1796,8100,0.1994,484000,2695300
MK Phone Samsung A33 6/128 Red-Con MTN v6,0.1796,8100,0.0504,484000,2695300
MK Phone Samsung A33 6/128 Red-Con MTN v7,0.1796,8100,0.1167,484000,2695300
MK Phone Samsung A53 8/128 MTN v4,0.1649,9000,0.683,485000,2942000
MK Phone Samsung A53 8/128 Red-Con MTN v3,0.1649,9000,0.1099,485000,2942000
MK Phone Samsung A53 8/128 Red-Con MTN v6,0.1714,9100,0.1279,514000,2998300
MK Phone Samsung A53 8/128 MTN v14,0.1897,9450,0.0788,604000,3183850
MK Phone Samsung A53 8/128 Red-Con MTN v14,0.1897,9450,0.0122,604000,3183850
MK Phone Samsung A53 8/128 MTN v8,0.1809,10100,0.6638,609000,3366300
MK Phone Samsung A53 8/128 Red-Con MTN v9,0.1809,10100,0.1724,609000,3366300
