,Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales
94,MK Phone Samsung A04S 4/64 DS v9,105,"4,499",365,"42,824",0.12635872848990895,0.990
95,MK Phone Samsung A04S 4/64 DS v8,105,"4,999",365,"43,324",0.14239601844548277,0.975
96,MK Phone Samsung A04S 4/64 DS v7 HRA,105,"4,999",365,"43,324",0.28974662411246443,0.901
97,MK Phone Samsung A04S 4/64 DS v6 HRA,85,"4,199",365,"35,224",0.14211488587384458,0.942
98,MK Phone Samsung A04S 4/64 DS v5,85,"4,199",365,"35,224",0.13386708950094153,0.943
99,MK Phone Samsung A04S 4/64 DS v3 HRA,95,"4,899",365,"39,574",0.16358188062528523,0.911
100,MK Phone Samsung A04S 4/64 DS v3,95,"4,899",365,"39,574",0.1367773922922779,0.932
101,MK Phone Samsung A04S 4/64 DS v10 HRA,105,"4,499",365,"42,824",0.11735890141617975,1.000
102,MK Phone Samsung A04S 4/64  Insurance Pilot v1,85,"4,199",365,"35,224",0.12441719177505281,0.960
103,MK Phone Samsung A04S 4/128 ST Pilot v2,100,"5,299",365,"41,799",0.11577190022067607,0.960
104,MK Phone Samsung A04S 4/128 ST Pilot v1,90,"6,399",365,"39,249",0.09923113206180005,0.957
105,MK Phone Samsung A04e 3/64 v2 ST Pilot,85,"4,899",365,"35,924",0.12553096815340903,0.979
106,MK Phone Samsung A04e 3/64 v1 ST Pilot,70,"4,199",365,"29,749",0.15022051186619229,0.933
107,MK Phone Samsung A04e 3/32 v1 ST Pilot,80,"4,699",365,"33,899",0.09996572352467648,1.000
108,MK Phone Samsung A04 4/64 ST Pilot v1,90,"4,999",365,"37,849",0.11089499839782183,1.000
109,MK Phone Samsung A03S 3/32 v6,65,"3,999",365,"27,724",0.19976050290679653,0.899
110,MK Phone Samsung A03S 3/32 v5,65,"3,999",365,"27,724",0.1601432204295318,0.918
111,MK Phone Samsung A03S 3/32 v4,65,"4,999",365,"28,724",0.1295350023416022,0.940
112,MK Phone Samsung A03S 3/32 v3,55,"4,499",365,"24,574",0.11525161036180992,0.950
113,MK Phone Samsung A03S 3/32 v1,55,"3,999",365,"24,074",0.14721036344511668,0.931
114,MK Phone Samsung A03 v1,40,"2,999",365,"17,599",0.24856667992499576,0.807
115,MK Phone Samsung A03 Single v3,40,"2,499",365,"17,099",0.13189617803304038,0.944
116,MK Phone Samsung A03 Saf-Data v1,40,"2,499",365,"17,099",0.15293380102244894,0.924
117,MK Phone Samsung A03 Saf-Data 6-M v1,75,"2,499",180,"15,999",0.12493382580597334,0.779
118,MK Phone Samsung A03 Micro-Biz v2,30,"2,200",600,"20,200",0.012887157828906702,0.943
119,MK Phone Samsung A03 Micro Biz v4,30,0,600,"18,000",0.48342165539625365,0.816
120,MK Phone Samsung A03 Micro Biz v1,30,0,600,"18,000",0.5068158246735782,0.799
121,MK Phone Samsung A03 Dual v4,40,"2,499",365,"17,099",0.12515052333412355,0.946
122,MK Phone Samsung A03 Data Single v5,40,"2,499",365,"17,099",0.14937315214603886,0.927
123,MK Phone Samsung A03 Core 2/32 v9,50,"4,299",365,"22,549",0.10464654290064189,0.942
124,MK Phone Samsung A03 Core 2/32 v5,50,"3,299",365,"21,549",0.12253527147451011,0.924
125,MK Phone Samsung A03 Core 2/32 v4,50,"3,299",365,"21,549",0.12650157159922878,0.922
126,MK Phone Samsung A03 Core 2/32 v28 DS HRA,71,"3,399",365,"29,314",0.15153276597159104,0.971
127,MK Phone Samsung A03 Core 2/32 v27 DS HRA,71,"3,699",365,"29,614",0.1340585446236094,0.976
128,MK Phone Samsung A03 Core 2/32 v27 DS,71,"3,699",365,"29,614",0.15572661382464828,0.974
129,MK Phone Samsung A03 Core 2/32 v26 DS HRA,65,"3,199",365,"26,924",0.1896532167931711,0.922
