Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR
111v15,0.1044,2800,0.1227
112vR1,0.0859,3300,0.1875
113vff,0.1562,1850,0.0074
114vv1,0.1809,1600,0.291
115vv5,0.1809,1600,0.1598
116vv6,0.1809,1600,0.1569
117vv2,0.1502,2000,0.267
118v11,0.1441,2100,0.2403
119v10,0.1441,2100,0.2813
120vv9,0.1441,2100,0.3043
121v13,0.1384,2200,0.3
122vv1,0.1332,2300,0.497
123vv6,0.1071,2500,0.175
124vv1,0.1919,1500,0.0942
125v&F,0.1666,1850,0.3899
126vv1,0.1528,2050,0.1525
127vv2,0.1528,2050,0.2127
128vv1,0.1528,2050,0.2029
129vv3,0.1528,2050,0.2085
130vv6,0.1181,2400,0.1144
131vv4,0.1111,2400,0.1427
132vv9,0.1923,1600,0.2649
133v14,0.16,2000,0.2047
134vv4,0.1476,2200,0.2085
135v10,0.1448,2250,0.4002
136vv4,0.0892,3300,0.0842
137vv2,0.1777,1800,0.1925
138v11,0.184,1750,0.359
139vv2,0.1719,1900,0.2056
140v11,0.1614,2050,0.2668
141v15,0.155,2150,0.4023
142vv1,0.1501,2250,0.2051
143vv1,0.1501,2250,0.1984
144vv4,0.1473,2300,0.3592
145vv6,0.1473,2300,0.2754
146v13,0.1473,2300,0.2867
147vv4,0.142,2400,0.233
148v22,0.2033,1600,0.1576
149v10,0.1936,1700,0.162
150vv9,0.1936,1700,0.1529
151v16,0.1891,1750,0.1943
152v16,0.1891,1750,0.249
153vff,0.1891,1750,0.0093
154vv2,0.1596,2150,0.3132
155vv1,0.1565,2200,0.7601
156vv3,0.1507,2300,0.1887
157vv2,0.1507,2300,0.2155
158vv5,0.148,2350,0.2314
159v10,0.1217,2500,0.1052
160v12,0.1217,2500,0.016
161vv1,0.0464,3400,0.0361
162vv1,0.2005,1650,0.1479
163v24,0.2015,1650,0.1592
164v19,0.197,1720,0.1552
165v20,0.197,1720,0.1074
166v19,0.197,1720,0.1726
167v14,0.1899,1800,0.1841
168v14,0.1899,1800,0.1903
169v17,0.1833,1880,0.1791
170v17,0.1833,1880,0.1846
171v12,0.1817,1900,0.4892
172vv6,0.164,2150,0.1944
173v12,0.1609,2200,0.3271
174v21,0.1955,1770,0.1073
175v21,0.1955,1770,0.1669
176v15,0.1865,1900,0.2471
177vv6,0.1865,1900,0.1963
178v15,0.1865,1900,0.2077
179v18,0.1811,1970,0.062
180v12,0.1789,2000,0.1709
181v11,0.1789,2000,0.1854
182vV3,0.1753,2050,0.2774
183vv8,0.1685,2150,0.203
184vv1,0.1592,2300,0.3038
185vv7,0.1536,2400,0.006
186vv2,0.1661,2200,0.2057
187vv3,0.1661,2200,0.1841
188vv9,0.1834,2000,0.1756
189vv8,0.1834,2000,0.1769
190vV7,0.1798,2050,0.1723
191vv1,0.1762,2100,0.0032
192v13,0.1729,2150,0.1599
193vv7,0.1634,2300,0.2289
194v12,0.1888,1990,0.2211
195v12,0.1888,1990,0.199
196vv9,0.1676,2300,0.235
197vv8,0.1617,2400,0.2727
198vv4,0.1617,2400,0.3497
199vv5,0.1617,2400,0.2932
200vv6,0.1617,2400,0.3837
201vv1,0.1617,2400,0.5298
202v11,0.1617,2400,0.2812
203vv1,0.1563,2500,0.4212
204vv2,0.1563,2500,0.2226
205vv1,0.2029,1830,0.1571
206vv6,0.1824,2100,0.1458
